Helsinki,0
Pasila,3
Espoo,20
Kirkkonummi,38
Siuntio,52
Inkoo,70
Karjaa,87
Salo,138
Kupittaa,190
Turku,194
Turku satama,197

Karjaa,87
Hanko,137

Pasila,3
Tikkurila,16
Riihimäki,71
Hämeenlinna,108
Toijala,147
Tampere,187
Parkano,262
Seinäjoki,346
Lapua,369
Kauhava,383
Pännäinen,446
Kokkola,479
Kannus,519
Ylivieska,558
Oulainen,586
Vihanti,612
Ruukki,633
Oulu,680
Kemi,786
Tervola,828
Muurola,876
Rovaniemi,900
Misi,948
Kemijärvi,983

Kemi,786
Tornio Itäinen,811
Ylitornio,873
Pello,930
Kolari,995

Seinäjoki,346
Ylistaro,367
Isokyrö,375
Tervajoki,388
Laihia,397
Vaasa,420

Turku satama,0
Turku,3
Loimaa,69
Humppila,89
Toijala,131
Tampere,171
Orivesi,213
Jämsä,269
Jyväskylä,326
Lievestuore,351
Hankasalmi,367
Pieksämäki,406
Varkaus,455
Heinävesi,498
Vihtari,520
Viinijärvi,556
Joensuu,589

Tikkurila,16
Kerava,29
Haarajoki,40
Mäntsälä,59
Lahti,104
Nastola,120
Kausala,144
Koria,159
Kouvola,166
Myllykoski,181
Inkeroinen,190
Tavastila,206
Kymi,211
Kyminlinna,215
Paimenportti,218
Kotka,220
Kotkan satama,221

Lahti,104
Kouvola,166
Lappeenranta,252
Joutseno,270
Imatra,288
Simpele,333
Parikkala,352
Punkaharju,376
Lusto,382
Retretti,384
Kerimäki,396
Savonlinna-Kauppatori,409
Savonlinna,410
Kesälahti,393
Kitee,425
Joensuu,482
Eno,518
Uimaharju,532
Vuonislahti,563
Lieksa,586
Kylänlahti,601
Höljäkkä,623
Kohtavaara,634
Nurmes,642
